Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,117.5,-66.5,90.0,top
C2,100nF,C_0402_1005Metric,119.091996,-61.001026,-90.0,top
C3,100nF,C_0402_1005Metric,110.5,-55.48,-90.0,top
C4,100nF,C_0402_1005Metric,109.768961,-73.974628,90.0,top
D1,LED,LED_0805_2012Metric,47.79,-58.585,0.0,top
D2,LED,LED_0805_2012Metric,47.79,-63.085,0.0,top
D3,LED,LED_0805_2012Metric,47.735,-67.5,0.0,top
D4,LED,LED_0805_2012Metric,47.79,-71.585,0.0,top
J1,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,70.81,-51.5,90.0,top
J5,Conn_02x06_Counter_Clockwise,IDC-Header_2x06_P2.54mm_Vertical,96.77,-65.15,180.0,top
R1,10k,R_0603_1608Metric,115.896873,-67.364349,90.0,top
R12,10k,R_0603_1608Metric,111.526438,-72.781279,-90.0,top
R2,10k,R_0603_1608Metric,120.44672,-62.309644,90.0,top
R3,10k,R_0603_1608Metric,112.0,-57.0,90.0,top
R4,100R,R_0603_1608Metric,43.5,-63.085,180.0,top
R5,100R,R_0603_1608Metric,43.5,-58.585,180.0,top
R6,100R,R_0603_1608Metric,43.445,-67.585,180.0,top
R7,100R,R_0603_1608Metric,43.5,-71.585,180.0,top
SW1,SW_Push,SW_PUSH_6mm,118.194703,-75.98945,180.0,top
SW2,SW_Push,SW_PUSH_6mm,109.108443,-65.715803,0.0,top
SW3,SW_Push,SW_PUSH_6mm,126.657887,-64.694775,180.0,top
SW4,SW_Push,SW_PUSH_6mm,118.0,-54.5,0.0,top
